In-Silico PCR Results Count,Sequence Length,Molecular Weight,nmol/A260,Micrograms/A260,Basic Tm,Salt Adjusted Tm,Nearest Neighbor Tm,A_Count,T_Count,G_Count,C_Count,GC Clamp,Self-Annealing,Hairpin Formation,Primer_Valid
1,20.629887691088445,6261.900185636875,5.828322560832888,34.34198520454213,51.33549609185553,46.162131846145535,64.73989326888639,8.528608345550172,8.551535714,5.753026551300928,4.824913405361315,0,0,0,0
1,20.636662595968566,6310.581925361213,5.005128127487635,33.02628070665706,50.04207962124746,45.295034212423445,63.91996825035857,9.258165568374263,6.2592301443699405,9.994358406226214,1.3401436817337986,0,0,0,0
1,21.27180982542999,6177.756747406628,4.977020952511274,30.736613962059998,52.90641527686235,46.54899910126295,63.33403670226567,7.202647837,8.014654078445737,8.201542102,3.233093022367284,0,0,0,0
1,20.288073872958837,6623.117357858481,4.869650312547172,32.18970102409313,52.348188822356306,46.32636406238888,64.60414998778027,2.6939040930132894,0.7799062782443498,7.50975291,8.256234475998662,0,0,0,0
1,20.060058489211883,5939.766193,5.778606422846553,33.26583229241488,50.458593741695296,46.47815296242121,63.95189586724732,1.581847735543661,7.254364747979261,5.898055856591187,7.023461125285672,0,0,0,0
1,20.225836084064586,6565.265099254445,5.737769448,31.319400531491414,54.07822949,49.28384282677956,66.05568895888035,2.748858435193214,6.254411678079489,5.7734188083715745,4.719015637270607,0,0,0,0
1,20.383354124236043,6434.066805189663,5.6244504153060255,29.18661808152199,52.34151568,50.34899082531019,65.20215866656771,1.1673599559942216,5.038446274463105,8.087848312421848,7.154426312818275,0,0,0,0
1,21.421103172108314,6393.730045565579,4.689980845673478,34.05764391819151,55.67106330641582,48.67318127618224,63.91719275019931,5.455161721421856,7.158276325,1.6407380077789369,1.9569766452530835,0,0,0,0
1,21.729960742297642,6164.367291412613,4.9089270876586255,34.72590565917438,52.161735000011994,46.275656182954926,63.19710818925821,4.876328792770614,3.8369788978582022,7.825125868551353,6.084373449975685,0,0,0,0
1,21.726417123972656,6658.015645,5.823408481246633,30.857984961518852,50.08964011901318,46.56325718221916,65.25208568856998,1.3181319886580645,0.2519007688067758,4.767523560042138,5.359726253579097,0,0,0,0
1,20.475454008948507,6703.177492799708,6.140412241375582,33.701253178208844,50.93791356425898,50.43241622564386,65.10004218962092,0.9207219254679833,5.041334157497659,5.740588847890115,2.6249120988502916,0,0,0,0
1,20.192252060671066,6723.926966743916,5.6740399271194395,33.775427827907066,55.36585987509339,47.036881846301696,65.01235141074395,3.689195119197949,0.3731875667533806,4.742005201265129,2.0927656025025176,0,0,0,0
1,21.577347004588383,6343.564571092167,5.271743144102063,31.38748113011743,54.94731752533756,47.20123612,65.26878677167316,0.925842802,3.8384260311729443,8.539013715585645,9.615454754583679,0,0,0,0
1,20.30657451080612,6580.521904077855,4.917456065147069,32.01671815,52.90214732356689,45.29100096625567,64.49819783,6.185203659756034,4.019229543410484,4.540326353587419,7.585470300336928,0,0,0,0
1,21.069655825202762,6138.696849953329,5.691242297004693,33.492538533298614,52.96298101856338,47.849085639766706,64.55827255873383,4.632071763815432,3.545215497235422,1.2473207402209812,5.770782710815983,0,0,0,0
1,20.63364060179139,6365.815502448693,5.082515992008719,36.449866873646585,53.779770006821956,46.01498981442497,63.692238752554374,8.892063067767777,3.4637291505800185,7.577761622774117,5.819859531,0,0,0,0
1,21.085872838171273,6234.137617755748,4.731603604711925,36.40190379492459,55.10403531,47.43949937793423,65.33096003,5.333444954793039,2.807058122657141,7.105059425033862,5.143700937,0,0,0,0
1,20.45267205955926,6427.8972540350105,4.908067229308654,35.28670642726379,54.87308388308327,48.20368036694897,65.61958950581433,2.551027195603562,7.046705622663233,7.3448754129870615,0.5748351539045238,0,0,0,0
1,20.959477339981387,6643.560910022935,5.6569494763569175,30.015959250666306,52.92605201939697,46.16419868178577,65.19204207609002,1.0996548273460816,1.3457401144487737,9.208872718532708,7.186974033610798,0,0,0,0
1,21.362698895646176,6422.477496118396,5.553008031858264,34.60715660545504,51.64182185686627,50.058498689747616,63.33121314373576,4.022524784227032,2.587246809272376,8.654141449800484,0.8357135994221221,0,0,0,0
1,20.721775879560138,6454.707825734257,4.934434459268497,29.731029750740756,50.153128402944475,47.56185458168218,63.861524105534556,6.945876188762555,3.785526763039698,9.943744338509905,2.202860568507682,0,0,0,0
1,21.924002218297478,6447.109764686425,5.954281029197807,31.512925503040837,52.61290957343249,50.38228948,64.06352452742757,0.7041801017393845,5.0955854192440855,7.057227168766265,5.399265353376577,0,0,0,0
1,21.70896109217706,6534.782953014595,5.727786894450977,33.38765711721402,52.064153508777956,45.04231076,63.86059851881273,4.433038166074777,2.6225193559510913,3.093823585867304,4.653296285929937,0,0,0,0
1,21.417078491183503,6580.423090535967,4.9540064798660834,31.803362700139523,51.030337179027384,48.27273674330878,64.08442396349045,7.544826972501659,6.922576688034377,1.4893092791490352,8.051244805885021,0,0,0,0
1,21.584282803186305,6360.051098180439,5.957039715055362,30.302328974932863,54.88071148464021,49.51152769112397,65.64604055853056,3.2054398425286834,6.6618854368701355,9.539711476536839,6.825478958528674,0,0,0,0
1,21.770519886611766,6382.018986509063,5.328372892935829,32.57762024223506,55.90111915144246,49.93435818290911,63.37296783832455,3.2422662826238016,7.927512630414232,2.547080494344144,4.393861832968574,0,0,0,0
1,21.824314791795967,6117.998098882344,5.269536071498279,34.02032336677434,51.55217692764479,49.53069451910134,63.55278722836334,2.690901941041143,2.718325408217104,7.792298718887997,0.24574316806183383,0,0,0,0
1,20.41378409167981,6409.113675364028,4.846744983481887,34.54700356844299,50.76292869615591,45.239574085731746,63.330864128284816,7.058827670153708,6.078119104582703,7.692241206777416,3.9602370395371924,0,0,0,0
1,21.828490783584048,6355.203097254932,4.948176023648886,30.271948464546316,52.9241884,48.933027601207954,64.54816335108687,5.027824544,4.198607711360201,5.357264768973878,2.454890089619204,0,0,0,0
1,21.13151581261341,6136.118003680882,6.145335417343265,33.87147988976507,51.73881794754759,45.479118638055354,63.46236742951134,7.399296819445313,1.2231669110759822,4.900788897469701,4.695444928,0,0,0,0
1,20.095819437212793,6614.577697048753,4.763689459718449,32.78960443082702,54.180782505271836,47.242550095667596,64.03659357088895,5.460761595803666,7.2259141401813185,7.094234336967835,6.885638215519424,0,0,0,0
1,21.168594525490967,6652.268274471035,4.949685162613494,32.05526230354099,53.45669053959678,45.98667374415773,63.662372221500654,2.648374372119451,7.754361365759169,4.920674060845058,9.706503997,0,0,0,0
1,21.988285381786966,6145.674297387225,5.818445189,30.273912236104753,50.51390370783077,49.31274834215627,63.985285947736436,6.598656852,4.268908739307426,2.652463692297566,1.8743603037644618,0,0,0,0
1,21.16566571222431,6551.541859041001,4.6582276722527745,32.553073178854376,54.194659289426326,48.06363854506951,65.63322284,9.252773685,1.6260037345734493,5.108061670976322,5.723469985,0,0,0,0
1,21.267297419551465,6402.891493221897,5.737031133274966,35.04010782041319,52.289341396298866,45.42575143,64.60217206148079,7.577104471053629,8.438654649710106,5.031468325817603,1.954541979152028,0,0,0,0
1,21.886671919410837,6379.013533495108,5.710197649129489,31.63253604854862,53.14381524595221,47.27448104137715,65.19972187959445,6.088130924072004,1.1147115533641618,1.0692144536300086,9.637932498274711,0,0,0,0
1,21.822314377836832,6239.588652010245,6.073069950379076,32.836527105224796,50.336377484042245,49.136522442359265,65.88050566682062,3.672370788,3.6644656319225763,7.956724448287913,9.963810282377537,0,0,0,0
1,21.587062938438187,6694.174251246598,6.073038865333955,29.72312287891088,54.97519306604117,46.18175227855341,63.47068135673182,8.378474351617376,7.543392944019253,3.1481730405956756,8.336409354929767,0,0,0,0
1,21.903780861912708,6633.164125781155,5.3078197869634085,31.101098050654905,51.11450618179626,46.00550574128884,65.8267174,7.223895025578345,0.019587041513968284,1.3580896203913833,9.606749380762642,0,0,0,0
1,20.837434210195532,6402.249195739624,5.497383270618144,34.92497180686224,51.79918693666598,49.11591579915135,66.08290951855675,0.3802150964172124,7.980885981015656,3.421325495,8.921220409205677,0,0,0,0
1,21.56662846245956,6269.212120503046,5.681693063642308,36.357832903102675,53.91374547864341,50.109027873500196,63.32695275295299,7.858667586,6.648332317621409,4.931498467785551,2.4309301941593944,0,0,0,0
1,20.363757097646907,6218.069853521335,6.111364281295501,31.67168600005327,54.52100070004407,45.30105331949774,65.26872154729398,0.9729775167493337,3.054393314951473,3.867919373952799,6.141144323,0,0,0,0
1,20.837445553991465,6384.932297193832,4.813319773454105,35.948512484488646,54.08171943051549,46.830661323519905,63.625295237749874,3.2433336639703123,2.9019144594065094,8.805701454459458,4.442002293,0,0,0,0
1,20.69538915056059,6104.222302470218,5.049603529497994,32.671540900410115,53.361644556435344,48.07109530039947,63.54017124037402,9.231795822258318,5.943622857216753,3.9338173176630846,1.2940534790158975,0,0,0,0
1,20.326709435678488,6371.753109721416,5.6991364269465805,36.14903349051333,50.04524261820523,50.77817501524111,65.37710293502008,6.3959354886637945,5.375837486674502,7.116189894,6.668043693207851,0,0,0,0
1,20.95963567065529,6449.274374365985,5.864478788357289,31.016262952035753,52.06317274053595,50.81404575507372,63.24979525798968,8.904947292528787,5.995797940421803,6.512206633497232,0.6435671895858741,0,0,0,0
1,20.054724692494236,6347.526309649905,5.634236809230552,30.63375523652522,54.102622870654365,50.45377796,63.31432829025648,5.522292873,4.193727094695442,4.108891689531848,3.234180034271199,0,0,0,0
1,20.51335053,6399.464759269263,5.951037172060601,34.03744789522774,50.514634239671636,46.08036268179491,65.76406372,8.250547149003209,7.570782022615954,2.405703566135591,9.416062019631031,0,0,0,0
1,21.21946505487279,6229.047191,6.0367782944753685,32.16955416395375,55.855427,46.030676126394475,66.09150561624627,7.461185022710065,8.219128476006519,6.979157877614358,8.781158997328886,0,0,0,0
1,20.90843006028852,6647.690753119877,4.857082821673042,30.60750504683602,51.63978011677987,45.84731707,64.03413946,5.417736144,7.992050177922391,8.542763655,5.321470569663283,0,0,0,0
1,21.850915336091884,6311.596851078434,5.076881937933159,33.45285975019528,51.62942818133472,45.40287660954061,64.32161502214218,5.373161406,7.635334599168737,9.880114125388875,7.2773886003000126,0,0,0,0
1,21.95978654469343,6570.962048611605,5.554929395417228,30.75198823956758,51.50618241212367,50.38119124078909,63.290562439766795,8.125006602032744,5.365262578218034,8.547765961750702,7.861818298791512,0,0,0,0
1,20.243291121663148,6016.630097969606,4.722072136949982,29.423064862072078,53.48667888710717,47.16040936,65.76038597043724,4.044097626840463,6.868414956628121,6.131931281925672,1.5423307348301951,0,0,0,0
1,20.843654986121265,6237.967169773291,5.624050309,33.11765942836087,52.00379958085133,48.13110453823618,63.88061581752125,2.1834485433316617,6.746680137781398,3.764406628289207,0.9375293154899489,0,0,0,0
1,21.446687586837644,6300.369723294567,5.464819057851409,36.15773182562468,55.553581228430076,46.289076911426996,64.68663880805238,0.8633572070636641,1.9594787081288612,4.167107404812902,8.252840420023368,0,0,0,0
1,20.231625641479866,6404.046712026188,5.361669724284479,31.68127594119658,54.33528932581291,48.81566324357721,64.42463554182441,3.227124060624255,1.096797798430929,6.171028608229939,8.773652914641684,0,0,0,0
1,20.83234870058949,6272.870416685113,5.606854185404574,34.043670932601756,50.97107227256741,50.76397814023572,65.99283757488898,8.956293268226986,7.404571050407361,8.271045912778723,1.3356570108813415e-05,0,0,0,0
1,21.403142661779317,6626.485744234314,6.162088198993414,31.572356528771333,50.398841640408776,45.94932848517427,63.95058282820618,2.620922059309186,2.5032965432728034,4.748026261240584,9.03272732,0,0,0,0
1,21.133781159963377,6415.000392,5.143199773664493,33.65110997938084,52.89664328995827,46.50378503467494,65.18273302936107,2.9852995081272993,3.4524184433939475,4.375676472492462,4.435221805807147,0,0,0,0
1,20.984916650288174,6283.046974,5.550952598315768,35.25488360849838,52.62959387342317,49.183800835256584,64.86727935,8.875279823,0.13940437387427673,9.573821574313312,3.886547820316232,0,0,0,0
1,21.146164370307908,6694.287739006464,4.945412882696688,34.89093049321369,51.94034776328819,48.02847215413242,65.34578312569288,5.354685276772848,2.041619545971729,1.024920208617044,5.141935386446058,0,0,0,0
1,21.57056709247218,6075.132841854198,6.161321692414962,36.62024126492374,55.68956160164151,46.88205346725136,66.05370312114087,7.664041639894208,4.0855438240650015,7.249500091267303,3.312357849617099,0,0,0,0
1,21.114729085758082,6657.593394,5.199380022976436,36.03859612,53.62951784684896,50.31104374298433,64.01855140086677,0.5236244827369263,7.097837620097844,1.3149993704311542,5.629529571009666,0,0,0,0
1,21.454425666161793,6418.8681304628535,5.985785416395051,31.53566338961939,53.31377200834675,46.396142443856476,65.81305852972666,1.3787744577688388,4.757522047652958,8.274898945,8.200797015583504,0,0,0,0
1,20.35952490667339,6145.702766,4.792863429584036,29.866137317036674,54.33310966501159,46.54408357526983,63.88916998888512,4.4419460024635695,5.815697055437617,1.0529535130031475,9.525268599,0,0,0,0
1,21.104860625057597,6706.304007271996,5.537740309884943,33.65929083881918,50.81189931233757,46.64116132318287,63.40176270605133,3.359990813814483,4.025368744287062,2.6052081073606024,7.641134594965289,0,0,0,0
1,20.29865936526553,6699.311945717209,4.739653789495699,36.175174747596785,55.591385323447085,47.03956105366792,64.78225257098867,7.413763655171589,5.451223910884358,6.606938248756233,1.0746662585236966,0,0,0,0
1,21.083759056997486,5950.654229,5.132891153761894,29.128743549818306,54.03062704592443,49.29636324461533,64.26422183406993,9.194214533868704,4.789069385819363,2.3403531163633144,0.1665651912195032,0,0,0,0
1,20.050946811755065,6501.864944,5.807994877013417,33.75518979621634,51.351708747460656,45.44828843231107,64.74207501,5.784309706,0.9662311215751658,2.2419089599948228,9.551530064,0,0,0,0
1,21.829029478387547,6044.981849276844,4.785149753051582,35.064775312449235,51.44343055077197,50.590665303226004,63.45458826566896,0.8032109833341394,5.606642770941343,1.5762872941136334,2.3636550480530225,0,0,0,0
1,20.251378952586812,5995.157614407655,5.739161460503247,34.86274237331905,54.227517825860716,45.859563794211226,63.28049481662735,3.281726232256632,5.5927956700004025,9.916494959048512,9.882904596886657,0,0,0,0
1,21.526960772830453,6211.638371216722,4.933202242384721,33.51791546750438,54.34812190691589,49.483014496848206,64.64521934945934,2.118705099371968,7.559310615200159,4.196274495494764,8.416999207636454,0,0,0,0
1,21.453469750742947,6553.337571032893,6.122189289,32.423799363414844,51.01938266276055,45.57525096633586,64.39623865357984,1.8177797205766921,4.334901734072817,7.377808136498346,7.12103961,0,0,0,0
1,20.827502037241555,6650.7729728642025,4.974870556908149,32.57459009122632,55.62793022679646,47.611820182423564,64.57913921,0.6161642523270261,2.4083574594020645,4.088078978947636,7.163151947,0,0,0,0
1,21.493635622182747,6674.044739057384,5.498120655,32.42448441364166,50.640444716779676,49.17690342504863,64.49963222158316,7.371194997814486,0.2932078939801879,7.011811323689266,2.943261037,0,0,0,0
1,20.24440818301611,6034.453297991168,5.447779688936775,31.64984692,52.72179163055116,45.41306342203461,64.82836045945315,9.041168927,5.184158294452684,8.065228078174808,8.587248070006236,0,0,0,0
1,20.700887155001286,6321.9240392158035,4.963727867445384,34.053857140304636,53.282889851894836,46.11011004244058,63.58389822137478,1.0385599117588018,7.379953470755591,2.8326761127777527,7.512141543633146,0,0,0,0
1,20.718324489605603,6355.041332430288,5.472837074129777,34.40519688,53.71256368943061,45.84228770789764,65.79169832908218,4.777228962457862,6.510718569570264,3.7787319649758975,5.972138302,0,0,0,0
1,21.40909032189304,6094.430823251603,5.507071512016059,34.62840204321221,51.40565412969307,47.05761794173217,64.37283020848523,2.0614213824646566,3.482492342044823,6.409144503,7.207940343844986,0,0,0,0
1,21.44171764259049,6676.396964054938,6.006367797935999,29.314077026512997,52.29856093420376,47.86094862754764,63.857583737024335,7.241506692882727,8.473147282703765,3.067334739,8.885110437,0,0,0,0
1,21.92220239220876,6002.622314027548,5.031558329505669,35.60295897278765,54.99235082453084,45.951540100234546,65.63196981996403,6.588380618,7.303488512314753,6.883065235693796,8.082962162926341,0,0,0,0
1,21.44951103206195,6319.765167999109,5.550521014552158,34.05033390669186,51.12003676811761,46.000919695632874,63.818924005367435,4.714536508571092,3.938793706311527,7.528116432388502,2.767390740559348,0,0,0,0
1,20.60533275124499,6221.650996869833,4.745693712550024,34.50039632555014,50.00954962359856,45.881353356649505,64.44783725437878,4.721513705693261,2.0008232377551423,1.7511305089575777,5.464103026848674,0,0,0,0
1,21.577647791186845,6409.106409,5.885117864339614,35.639269445924924,51.86204777,47.06478786584209,64.00760900308387,5.031374413677972,2.977737858,9.397798955651323,7.8900328304633485,0,0,0,0
1,21.601964025395848,6706.933038400206,5.939886646247826,34.12297022,50.75635255,48.32181554188317,63.41830509,1.1543761966003707,5.281141341573676,8.317983873933745,1.4024152986777694,0,0,0,0
1,21.060758835583762,6691.061931171397,6.141273832980727,35.91529349653305,53.10086071466401,49.31677086536996,65.69452204835771,9.203964384190561,2.2983494362820767,5.010818260286911,4.719220304060412,0,0,0,0
1,20.850501631335316,5929.487614627833,5.704640357467401,29.766734226566715,55.46808746978594,47.76407059697963,65.12391073716775,4.738774367811668,8.193073414836196,8.546296925572829,1.5761088804279588,0,0,0,0
1,21.71850025508631,6341.1629167999645,5.531632920261047,33.555067463468134,50.77828227784656,46.19258895056716,64.91535502823955,0.2837885778401894,5.721384256543619,5.613836030487695,4.749795510948572,0,0,0,0
1,21.027138382751154,6215.317144,4.894467397023044,29.923145934424003,53.2327843,48.88958451400968,63.88202608189931,9.329182373644318,0.4272195849906052,8.203344226,0.5864292802225468,0,0,0,0
1,20.907196607675655,6474.408946252133,5.482214399362329,31.638483633174022,55.952068467681244,47.13873427370812,64.54273299187841,4.743815377059616,1.507576538,9.011775603590305,3.870256134569842,0,0,0,0
1,21.750650175100002,6070.188171716959,4.667074273695123,31.277222903604454,55.44589706,47.425772958001026,64.60498101888865,5.219607159644974,7.635231724959001,6.6355987979816105,5.376088764471204,0,0,0,0
1,20.820909704728507,6707.4405457319435,4.862144892291281,29.84074844174737,54.47869630297518,48.49196983,64.47688769325715,1.189539513022435,4.692538701314143,8.183657482906641,2.28769841,0,0,0,0
1,20.7695051,6620.561914055624,5.257718110572252,36.32834422923021,52.38521802777436,45.964977294490694,66.10078502730387,3.338206608757041,6.402876142559685,6.7691949070014505,8.512169734,0,0,0,0
1,20.58216631245112,6394.9703458737795,5.585280024512305,29.30403454479326,55.01109730941551,48.61394994132938,65.71139452729224,2.1436925991198263,3.7802330452276878,8.412271801105812,2.440667357517171,0,0,0,0
1,20.600572711426757,6312.483397636256,4.654634649188801,33.94498824270848,51.09963928035397,50.24906298,64.58131061076502,4.2110498941600785,1.7239542764761062,9.912832222966097,4.960265576241466,0,0,0,0
1,21.41684945589042,6081.965754217267,5.4316986288046625,30.86850681093229,51.13038488526502,49.70821721378329,64.62016429789936,2.47082582,2.9601979916412713,7.030860602234155,0.6966362204061027,0,0,0,0
1,20.97959208096263,6527.4723538538055,5.848777735791445,30.649936980348564,55.955560891804595,47.91178702401866,64.52466972474987,0.5627452016093204,5.516679643849636,1.0070074015366455,8.414952619608894,0,0,0,0
1,21.826915887980878,6251.470754429588,6.169169857161256,30.35914884304617,53.297093398951894,48.105243406751924,63.70687687855552,5.041428774,2.350718421967223,4.135018163043426,9.692287803001268,0,0,0,0
1,21.47992426766754,6334.634186173125,4.916324762614719,34.34427901890416,55.945670435518906,50.59763618638959,65.42106553507246,0.8942294790147709,7.200856114547101,9.491487197905144,8.007693925,0,0,0,0
1,21.028209363726145,6470.655604970394,4.943471252940122,34.78443913969006,54.88284384413855,46.80143596508455,64.55426060638942,7.346232059899092,5.424174159292912,8.240329289188889,2.6112385440146024,0,0,0,0
1,20.097799345325704,6364.227168,5.269157294910183,36.38183298004008,55.173325440042014,48.61803602799548,65.07794039132835,0.3333669921855442,5.069932099988513,8.307601256950234,1.8574821264069907,0,0,0,0
1,21.343209998763825,6005.818759210181,6.047513353438056,32.17229297177423,53.9120443,48.369879271646326,64.651712,0.8745397306631053,7.781195020548676,7.379515290379431,2.6718027852874493,0,0,0,0
1,20.914684215174944,6176.064342759646,5.230904122080407,35.42916211773635,53.30507610458316,47.294957286198816,63.88866663671388,5.747768653825118,8.243982730867957,4.747366446195366,2.1805020446677146,0,0,0,0
1,21.537155897445185,6596.311519094814,5.882191036667027,32.95909576415035,53.84683248506571,50.73723489416919,65.02442935132414,0.3341234336964005,3.9383336177625248,8.411077057,9.562707268072652,0,0,0,0
1,21.98748507277348,6189.138605078947,6.065172644487195,30.49875800948531,53.88395657745748,49.05943821263315,64.66376158515162,0.43773318339587197,5.095076498826462,9.921139647116782,5.995361574730181,0,0,0,0
1,21.162494068856027,6719.094113650284,5.223145287480468,35.75795323627227,51.550091658106346,50.929162217259396,66.10577414554434,4.800865833188056,0.8359906848650008,6.722936816,9.574436562991504,0,0,0,0
1,21.087157395020448,6114.195090961815,6.146586654,34.149748374687064,52.41098582895971,46.73193842545184,65.35842173191043,5.019238915454651,3.763178135104156,3.657493400712736,0.017145111609946362,0,0,0,0
1,21.676103633545296,6616.105172055986,5.735474774588146,30.368966262924978,50.49867705682203,45.36334295254944,65.72338518693034,3.201656769308865,7.795603568838833,1.3806214750036179,4.199394962426685,0,0,0,0
1,20.34921112329256,6362.139074787262,4.818640323399998,34.67020053397718,50.53460822579597,45.87075361829432,65.60539903,7.296461689416056,3.3538398088470367,8.834879093924659,2.4694096494353266,0,0,0,0
1,21.58517356009294,6704.358852854335,5.189013514406261,35.22183156576332,50.798281411280705,49.487448999601845,66.03075510794895,4.249471580423694,8.561383254427477,2.447264588895199,7.829246194900894,0,0,0,0
1,21.812335404907746,5926.310697,4.7114351472220894,31.692993955864274,55.28557979,48.18974047532607,65.94108075720249,8.498228893478283,6.420109155619514,7.017607920726151,9.409693486,0,0,0,0
1,20.69779823101789,6575.744358544715,5.780818695690481,29.313038868593534,54.38448833518325,48.27548638402825,64.32833231003154,9.910153928374644,1.8916100531966444,4.222696064563197,2.781298720320086,0,0,0,0
1,21.20100272284504,6552.739793026325,5.4848031317575066,35.759689345636495,55.383839418743044,45.291108515696216,65.09707320768894,1.512566368338375,8.621923709421806,6.910111930106721,3.046240411934539,0,0,0,0
1,21.53066188404972,6626.314090264542,5.615976385622554,29.911775049048796,50.11270915,49.68465994441219,63.27152306824196,2.140967587041719,8.875735227404869,3.5152399704562134,3.448188075330193,0,0,0,0
1,20.472819410045535,6685.638986731345,4.9554940389993805,31.705287460571626,55.743859476782575,45.18460362360245,63.58693988,2.9120221100354127,1.1935155196063412,3.8454819493190655,0.7507784522900018,0,0,0,0
1,20.694173048403293,6217.882707,5.890613091342582,30.012145409235504,52.94525286194207,48.34920019,64.40167852217452,1.421941095672441,4.819591493,9.781139234945707,3.9685246718721623,0,0,0,0
1,20.836219415310033,6639.211458191778,5.4382658145355895,30.483010737398864,55.59232175619649,45.013603964381964,64.49299853400497,4.222524663587656,5.932114726003794,8.200066947095006,4.442995632,0,0,0,0
1,20.772457149651522,6581.451137759424,6.112402393344402,35.01606276606398,54.704164508643544,49.24665919719218,65.58774045361427,4.727817281261358,1.4985226580641797,2.240862720071112,7.9864367660983495,0,0,0,0
1,20.773795932164866,6197.165276632544,5.271888537378349,35.301885938622874,55.93161107156115,48.822458272372046,63.87308578347771,6.1988299859142035,3.725989056674166,1.327054574010266,6.413206253784077,0,0,0,0
1,21.50273138369135,6330.263432949146,5.512460584497792,34.90614302565477,51.730179600213965,50.51978578,63.61763117746264,5.337581076045285,6.295686701562121,9.056206840490987,5.228445733982026,0,0,0,0
1,20.51965143636287,6303.170090486128,4.872563943855806,32.67110169864776,52.74159410474631,45.42006814621308,63.27522003691115,0.26310995304933305,5.719710399072848,9.650915116,9.691039153345097,0,0,0,0
1,21.214982625373114,6099.708683978887,5.800264696140051,35.32716482070254,55.19196128896082,49.166922167444206,63.21139868476791,0.33111677261149386,5.901938389741351,3.254102684203448,7.229350450527418,0,0,0,0
1,21.651246100855193,6258.9243818082605,4.776124153785385,34.26508802262518,55.87838869479935,49.30369429167786,63.77492347614678,0.26951173878836054,7.262772448156234,8.973648264270839,0.491032023,0,0,0,0
1,21.753430743387803,6077.576078947894,6.133138570754361,34.710846540288614,52.43459815049843,46.74571970861742,63.74338146914219,5.2299042273073955,4.491876147456407,6.404948432378455,9.554997459848844,0,0,0,0
1,21.91652860062165,6306.647621434097,5.892905618794586,35.95691197430077,54.585238719716244,47.15215273896957,65.72467587,6.4726203602064984,3.2659067306393026,9.801489549166405,1.7936257528307353,0,0,0,0
1,20.46585180070554,6052.227025678607,4.671732544394265,29.3579544,51.724823429647344,50.396406313140375,65.63172131625967,4.476842931425279,7.610986034874184,7.189639379853585,0.26450536409148073,0,0,0,0
1,20.62601562651439,6665.158725389107,5.291867417682796,30.767551702588154,55.909158513301044,49.59205051382945,65.51461033824478,7.202469248284685,3.7442386708904234,3.4334882830796523,3.4455989308381807,0,0,0,0
1,21.464319775017724,6499.077603934345,6.144235505116249,36.076613264371915,54.888970489882865,46.05317419431226,64.90704088,6.12330383,4.048561651071678,8.628829781918345,6.660196031061556,0,0,0,0
1,21.99247228367957,6718.1418712341365,5.824561607106409,30.400637653686985,51.76739147458194,48.34525803089755,64.56498316986534,2.8609633966150683,5.644397634557893,6.662227884958104,0.5120535026564654,0,0,0,0
1,20.350810981996414,6661.012371,4.885227662619411,34.16614327,52.95738056,49.15884297767568,64.57840928844038,3.269088465199429,3.004894813582653,4.069660122129519,6.097287915334403,0,0,0,0
1,20.251115398965833,6325.980360139267,6.125720481659638,33.72867480714498,54.511278938446765,46.190148672385384,65.57210383463621,8.008692729083918,7.024649758011815,6.443923534938364,7.636437312715644,0,0,0,0
1,20.506863237797486,6467.337320841001,5.969127244145989,34.77900865810828,54.21657344250134,50.735797911014025,63.853834136991864,4.476869529,4.275250152102742,3.8120147842053864,1.2682433691214945,0,0,0,0
1,20.45792890910608,6664.294159867739,5.589756097705508,30.73981860270718,55.04736790451638,50.34268735888204,63.26117804591849,4.158284256,7.905899040810664,7.692836659442725,4.904782055204594,0,0,0,0
1,20.671480114308192,5951.983405860559,5.0872646503761505,35.67542090040159,50.29591089758638,45.45247856165707,64.93509623079774,5.995007377194606,1.5653701172756955,7.896838797,4.318330578846508,0,0,0,0
1,20.193471746815703,6184.631015683772,5.122076152843247,29.516910773179678,54.72488168068021,49.17850414961568,65.50687587,8.926982810305942,8.961446881637793,2.052853979680512,6.498370547708806,0,0,0,0
1,21.141729503517446,6118.184793743279,5.531572951394912,35.26947430142147,53.367198780920276,49.78289286908927,65.67329090980014,1.3281363595462647,7.989376669266554,4.162660606355706,8.959251989435497,0,0,0,0
1,20.43886939497043,6415.457613361643,4.650081419966144,34.93197909115439,50.45864800433848,48.72219569992639,65.66168209256698,3.882781459201201,7.235527638676573,4.4379229431611815,7.283374713777782,0,0,0,0
1,20.390008819184327,6085.411380173242,5.129869954343787,29.09161587690187,50.77943322187637,49.28296215540477,63.698913064466716,0.5578643029161501,5.823490976202182,7.556675257020473,2.917037156971738,0,0,0,0
1,20.728843811671684,6648.0995933628055,5.181487927102497,32.15019653052702,55.49344043616894,49.81639533,65.59488493348616,7.975012442994069,7.067689686019772,6.362728321909865,6.040839909773652,0,0,0,0
1,20.196517832548164,6701.882804192303,5.783153791975125,29.73859926343532,54.77355096035218,46.88122916327345,66.05801396730342,6.541052970527151,7.1465014772207445,8.423191285352994,7.286583823643786,0,0,0,0
1,20.94193745828429,6518.870150786759,4.848029936,31.44774798037946,50.423538108289016,47.35882986812967,65.08204339,7.811008403391831,3.4260040159750917,5.677646829568056,9.827891828411245,0,0,0,0
1,21.534202424573998,6339.299900112184,4.750586441114019,31.006406766715664,53.65820716513051,46.69782604350723,63.972625976559556,7.510096766623945,2.674624446730675,4.039929771803589,4.280652942059559,0,0,0,0
